Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
52;DAVIES Matthew;AUS;4,6;8,266;12,866;0;3,3;8,1;11,4;0;4,3;8,566;12,866;0;4,8;8,9;13,7;0;4;7,666;11,666;0;3,6;7,4;11;0;73,498
53;IDRISSOV Nurtan;KAZ;4,8;7,8;12,5;-0,1;4,2;6,933;11,133;0;4,1;8,566;12,666;0;4,8;8,766;13,466;-0,1;4,5;7,7;12,2;0;4;7,433;11,433;0;73,398
54;BENCOMO Marco Antonio;ESP;4,8;7,833;12,533;-0,1;3,8;8,366;12,166;0;4;8,533;12,533;0;4,4;7,533;11,833;-0,1;4,1;8;12,1;0;3,5;8,733;12,233;0;73,398
55;FELICITE Manoah;FRA;4,6;7,266;11,766;-0,1;4,9;8,5;13,4;0;3,6;6,8;10,4;0;4,8;8,9;13,7;0;4;7,633;11,633;0;3,6;8,766;12,366;0;73,265
56;OGNIBENE Thiago;ARG;4,2;7,3;11,5;0;3,9;8,5;12,4;0;4,1;8,833;12,933;0;4;8,933;12,833;-0,1;3,6;7,866;11,466;0;3,8;8,333;12,133;0;73,265
57;ATKINS George;GBR;4,9;7,466;12,166;-0,2;4,3;5,266;9,566;0;4,2;8,766;12,966;0;4;9;13;0;4,5;8,3;12,8;0;4,5;8,166;12,666;0;73,164
58;ISTOCK Alexander;NZL;4,2;8,066;12,266;0;4,6;8,166;12,766;0;4;8,7;12,7;0;4;9,066;13,066;0;4;7,633;11,633;0;3,5;7,233;10,733;0;73,164
59;DOBREV Zdravko;BUL;4,9;8,366;13,166;-0,1;3,3;6,466;9,766;0;4,2;8,633;12,833;0;4;8,966;12,966;0;4,3;8,233;12,533;0;4,5;7,366;11,866;0;73,13
60;ZAKARIA Yahia;EGY;3,8;8,666;12,466;0;3;7,666;10,666;0;4,1;8,333;12,433;0;4;7,466;11,466;0;4,7;8,866;13,566;0;4,3;8,233;12,533;0;73,13
61;DUENAS Juan Pablo;MEX;4,3;7,7;12;0;4;7,933;11,933;0;3,8;8,233;12,033;0;4,8;7,7;12,4;-0,1;4,1;8,966;13,066;0;3,5;8,166;11,666;0;73,098
62;NOH Hyeonu;KOR;4,7;7,6;12,2;-0,1;3,8;8,2;12;0;4;7,966;11,966;0;4;8,933;12,933;0;4,3;7,766;12,066;0;3,8;7,866;11,666;0;72,831
63;OLIVEIRA DOMINGUES;BRA;4,3;7,833;12,133;0;3,6;6,933;10,533;0;4,2;8,8;13;0;4;9,033;13,033;0;4;8,266;12,266;0;3,9;7,9;11,8;0;72,765
64;POPOV NOGEIRA C;BUL;4,4;7,533;11,533;-0,4;4,7;7,2;11,9;0;4,1;8,566;12,666;0;4;9,1;13,1;0;4,2;7,566;11,766;0;3,6;8,066;11,666;0;72,631
65;HERNANDEZ Juan David;MEX;4,7;7,3;12;0;4,1;7,366;11,466;0;3,6;8,2;11,8;0;4,4;8,7;13,1;0;3,6;8,633;12,233;0;3,6;8,266;11,866;0;72,465
66;DANEK Jonas;CZE;4,4;7,5;11,8;-0,1;3,8;8,733;12,533;0;3,9;8,3;12,2;0;4;9;12,9;-0,1;3,1;8,866;11,966;0;3,3;7,533;10,833;0;72,232
67;MIHAI Iustin;ROU;5;5,933;10,733;-0,2;3,2;7,666;10,566;-0,3;4;8,533;12,533;0;4,8;9;13,8;0;4,4;7,866;12,266;0;3,9;8,433;12,333;0;72,231
68;MALTSEV Ivan;NOR;4;8,566;12,566;0;2,9;8,3;11,2;0;3,9;7,733;11,633;0;4;8,966;12,666;-0,3;3,3;8,833;12,133;0;3,4;8,566;11,966;0;72,164
69;AHMADZADA Rasul;AZE;5;7,633;12,533;-0,1;4,2;5,7;9,9;0;3,9;7,933;11,833;0;4;9,1;13,1;0;4,2;8,8;13;0;3,8;7,966;11,766;0;72,132
70;RUDYI Ivan;UKR;4,3;7,966;12,266;0;4,2;7,333;11,533;0;4,1;8,9;13;0;4;8,933;12,833;-0,1;4,1;5,766;9,866;0;4,7;7,866;12,566;0;72,064
