Rank;Name;NOC;VT1_Dscore;VT1_Escore;VT1_Penalty;VT1_Total_Score;VT2_Dscore;VT2_Escore;VT2_Penalty;VT2_Total_Score;VT_Total_Score
1;BRUGNAMI Tommaso;ITA;5,2;9,300;-0,1;14,400;4,8;9,066;0;13,866;14,133
2;CANUEL Victor;CAN;4,8;9,233;0;14,033;4,8;9,2;0;14,000;14,016
3;ZAVORY Szilard;HUN;5,2;8,900;-0,1;14,000;4,8;8,966;0;13,766;13,883
4;KOVALENKO Maxim;GER;4,8;9,166;0;13,966;4,8;8,9;0;13,700;13,833
5;AVCI Alperen Ege;TUR;4,8;9,100;0;13,900;4,0;9,266;0;13,266;13,583
6;TRIFONOV Daniel;BUL;4,8;7,900;-0,1;12,600;4,8;9,033;0;13,833;13,166
7;KVAMSOEE Jakob;NOR;4,8;8,700;0;13,500;4,0;8,8;0;12,800;13,150
8;KAMIYAMA Haruto;JPN;5,6;8,733;0;14,333;2,4;7,366;0;9,766;12,049
