Rank;Name;NOC;VT1_Dscore;VT1_Escore;VT1_Total_Score;VT1_Penalty;VT2_Dscore;VT2_Escore;VT2_Total_Score;VT2_Penalty;Total_Score
1;DAVTYAN Artur;ARM;5,6;9,500;15,000;-0,1;5,6;9,500;15,100;0;15,050
2;YULO Carlos Edriel;PHI;6,0;9,100;15,000;-0,1;5,6;9,300;14,900;0;14,950
3;RADIVILOV Igor;UKR;5,6;9,200;14,800;0;5,6;9,066;14,666;0;14,733
4;BURTANETE Gabriel;ROU;5,6;9,066;14,666;0;5,6;8,800;14,400;0;14,533
5;SOUZA Caio;BRA;5,6;8,733;14,333;0;5,6;8,900;14,500;0;14,416
6;LEE Junho;KOR;5,6;8,866;14,466;0;5,2;8,966;14,166;0;14,316
7;TANIGAWA Wataru;JPN;5,6;8,666;14,166;-0,1;4,8;9,033;13,833;0;13,999
8;KIM Hansol;KOR;5,6;9,300;14,900;0;5,2;8,000;12,900;-0,3;13,900
