Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
65;KHACHIKYAN Gagik;ARM;4,8;8,2;13;0;5,9;7,1;13;0;4,1;7,766;11,866;0;4,8;8,6;13,3;-0,1;4,3;8;12,3;0;3,6;7,3;10,9;0;74,366
66;ALVAREZ Joel;CHI;5,1;7,466;12,566;0;4,2;6,166;10,366;0;4,5;7,866;12,366;0;4,8;8,9;13,7;0;5,3;7,633;12,933;0;5;7,366;12,366;0;74,297
67;GRUENBERG Jermain;NED;5,2;7,8;12,9;-0,1;4,6;7,466;12,066;0;4,2;8,566;12,766;0;4,8;8,133;12,633;-0,3;5,2;6,266;11,466;0;5;7,133;12,133;0;73,964
68;ALEKSANDROV Yordan;BUL;4,9;7,666;12,566;0;3,4;6,1;9,5;0;4,8;8,066;12,866;0;4,8;8,5;13,2;-0,1;5,9;6,8;12,7;0;5,2;7,766;12,966;0;73,798
69;GONZALES Edward;PER;5,2;6,6;11,6;-0,2;5,2;7,366;12,566;0;4,8;7,033;11,833;0;4,8;8,9;13,7;0;5,2;7,6;12,8;0;4,6;6,433;11,033;0;73,532
70;FREY Andrin;SUI;6;7,533;13,233;-0,3;5,3;6,566;11,866;0;4,9;7,666;12,566;0;5;7,9;12,6;-0,3;5,7;6,6;12,3;0;4,5;6,366;10,866;0;73,431
71;ZEIDEL Uri;ISR;5;6,6;11,6;0;5,3;7;12,3;0;4,7;8,1;12,8;0;4,4;9,1;13,5;0;5;8,033;13,033;0;4,2;5,966;10,166;0;73,399
72;NASSER Abderrazak;MAR;4,8;7,666;12,466;0;4,8;6,266;11,066;0;3,7;8,333;12,033;0;4,8;8,9;13,7;0;4,4;7,233;11,633;0;4,2;7,833;12,033;0;72,931
73;LOPEZ Jose;PUR;5,4;5,666;10,566;-0,5;4,7;7,466;12,166;0;5;7,566;12,566;0;5,2;7,866;12,766;-0,3;4,6;8,133;12,733;0;4,9;7,233;12,133;0;72,93
74;KRANZLMUELLER Severin;AUT;5,1;6,866;11,966;0;3,8;5,766;9,566;0;4,4;8,166;12,566;0;4,4;8,8;13,2;0;4,9;7,466;12,366;0;4,7;8,033;12,733;0;72,397
75;THORISSON Jonas Ingi;ISL;5;7,633;12,633;0;2,8;7,233;10,033;0;3,7;8,2;11,9;0;4,8;8,7;13,5;0;3,9;8,566;12,466;0;4,1;7,666;11,766;0;72,298
76;LENBERG Joakim;SWE;4,9;7,6;12,5;0;4,4;6,566;10,966;0;4,2;7,466;11,666;0;4;8,9;12,9;0;4,4;7,4;11,8;0;3,8;8,4;12,2;0;72,032
77;REINHARDSSON Valgard;ISL;5;6,3;11,2;-0,1;3,7;7,166;10,866;0;4,3;8,133;12,433;0;4,8;8,833;13,533;-0,1;4,8;7,3;12,1;0;4,5;7,366;11,866;0;71,998
